시파,52,178
카솔,65,189
차마,41,168
차타,63,164
민파,89,171
타시,74,165
나라,46,185
민라,78,180
석다,85,187
바타,40,176
카다,41,179
파라,70,183
바레,48,180
카라,45,186
석미,88,183
타아,81,182
파자,71,178
파라,67,189
파바,59,187
가자,65,169
라하,78,179
사도,62,186
라자,96,160
미파,57,181
차레,44,173
석바,68,186
파라,70,171
자아,76,162
솔아,72,180
시하,99,182
미차,71,187
아파,48,173
파파,58,173
자민,63,167
시파,70,174
바레,73,166
민솔,52,186
바도,42,181
하라,42,160
카솔,73,174
레도,88,182
차타,53,165
석도,86,175
솔자,46,182
레아,50,179
